longitude,latitude,elevation
79.75,12.75,128.7
79.755,12.75,131.0
79.75999999999999,12.75,135.3
79.76499999999999,12.75,129.4
79.76999999999998,12.75,123.8
79.77499999999998,12.75,118.8
79.77999999999997,12.75,127.1
79.78499999999997,12.75,123.7
79.78999999999996,12.75,122.4
79.79499999999996,12.75,120.8
79.79999999999995,12.75,120.8
79.80499999999995,12.75,129.4
79.80999999999995,12.75,130.4
79.81499999999994,12.75,117.7
79.81999999999994,12.75,120.1
79.82499999999993,12.75,106.2
79.82999999999993,12.75,113.9
79.83499999999992,12.75,119.7
79.83999999999992,12.75,112.6
79.84499999999991,12.75,107.8
79.84999999999991,12.75,109.5
79.8549999999999,12.75,109.1
79.8599999999999,12.75,127.4
79.8649999999999,12.75,106.4
79.86999999999989,12.75,106.4
79.87499999999989,12.75,108.3
79.87999999999988,12.75,116.2
79.88499999999988,12.75,103.2
79.88999999999987,12.75,102.3
79.89499999999987,12.75,106.2
79.89999999999986,12.75,103.1
79.90499999999986,12.75,97.4
79.90999999999985,12.75,94.7
79.91499999999985,12.75,105.9
79.91999999999985,12.75,92.2
79.92499999999984,12.75,94.9
79.92999999999984,12.75,96.2
79.93499999999983,12.75,97.4
79.93999999999983,12.75,96.2
79.94499999999982,12.75,94.0
79.94999999999982,12.75,93.5
79.95499999999981,12.75,90.9
79.95999999999981,12.75,94.5
79.9649999999998,12.75,95.1
79.9699999999998,12.75,81.9
79.9749999999998,12.75,85.8
79.97999999999979,12.75,88.5
79.98499999999979,12.75,82.6
79.98999999999978,12.75,86.6
79.99499999999978,12.75,76.4
79.99999999999977,12.75,78.7
80.00499999999977,12.75,81.2
80.00999999999976,12.75,74.0
80.01499999999976,12.75,71.9
80.01999999999975,12.75,71.8
80.02499999999975,12.75,75.4
80.02999999999975,12.75,68.5
80.03499999999974,12.75,82.7
80.03999999999974,12.75,81.3
80.04499999999973,12.75,73.6
80.04999999999973,12.75,81.4
80.05499999999972,12.75,68.0
80.05999999999972,12.75,63.9
80.06499999999971,12.75,63.9
80.06999999999971,12.75,75.4
80.0749999999997,12.75,55.1
80.0799999999997,12.75,67.3
80.0849999999997,12.75,60.5
80.08999999999969,12.75,61.7
80.09499999999969,12.75,57.1
80.09999999999968,12.75,49.2
80.10499999999968,12.75,65.8
80.10999999999967,12.75,59.8
80.11499999999967,12.75,51.7
80.11999999999966,12.75,51.9
80.12499999999966,12.75,59.3
80.12999999999965,12.75,50.3
80.13499999999965,12.75,46.3
80.13999999999965,12.75,60.0
80.14499999999964,12.75,48.0
80.14999999999964,12.75,43.3
